offspring,mom,dad,mid-parent,Sex
61,65,69,67,F
62,61,66,63.5,F
62,49,65,57,F
63,68,61,64.5,F
64,63,61,62,F
65,64,76,70,F
65,63,65,64,M
65,64,61,62.5,F
65,66,73,69.5,F
66,65,61,63,F
67,64,72,68,F
72,0,61,30.5,M
72,64,66,65,M
