mom height,dad height,mid-parent,offspring height,Sex
5.25,5.416666667,5.333333333,5.166666667,F
5.333333333,6.166666667,5.75,5.5,F
5.25,5.083333333,5.166666667,5.916666667,M
5.416666667,5.666666667,5.541666667,5.25,F
5.166666667,5.083333333,5.125,5.416666667,F
5.333333333,6,5.666666667,5.583333333,F
5.416666667,5.916666667,5.666666667,5.166666667,F
5.083333333,5.583333333,5.333333333,5.5,F
5,5.916666667,5.458333333,5.166666667,F
5.25,5.75,5.5,5.25,F
5.166666667,6.083333333,5.625,5.083333333,F
5.583333333,5.5,5.541666667,6.083333333,M
5.75,5.666666667,5.708333333,5.416666667,F
5.5,6,5.75,5.333333333,F
5.166666667,5.083333333,5.125,5.333333333,F
5.166666667,6,5.583333333,5.5,F
5.166666667,5.5,5.333333333,5.166666667,F
5.333333333,5.916666667,5.625,5.333333333,F
